"year","zone","type","ratio"
"2010","S01001874","Pre 1991",0
"2011","S01001874","Pre 1991",0
"2012","S01001874","Pre 1991",0
"2013","S01001874","Pre 1991",0
"2013","S01001874","All",0
"2009","S01001874","All",0
"2004","S01001874","All",0
"2012","S01001874","All",0
"2005","S01001874","All",0
"2010","S01001874","All",0
"2006","S01001874","All",0
"2014","S01001874","All",0
"2007","S01001874","All",0
"2011","S01001874","All",0
"2008","S01001874","All",0
"2004","S01001875","Pre 1991",0
"2005","S01001875","Pre 1991",0
"2006","S01001875","Pre 1991",0
"2007","S01001875","Pre 1991",0
"2008","S01001875","Pre 1991",0
"2009","S01001875","Pre 1991",0
"2010","S01001875","Pre 1991",0
"2011","S01001875","Pre 1991",0
"2012","S01001875","Pre 1991",0
"2013","S01001875","Pre 1991",0
"2013","S01001875","All","17.2"
"2009","S01001875","All","13.1"
"2004","S01001875","All",0
"2012","S01001875","All","13.2"
"2005","S01001875","All",0
"2010","S01001875","All","13.2"
"2006","S01001875","All",0
"2014","S01001875","All","17.2"
"2007","S01001875","All",0
"2011","S01001875","All","13.2"
"2008","S01001875","All","13.1"
"2004","S01001876","Pre 1991",0
"2005","S01001876","Pre 1991",0
"2006","S01001876","Pre 1991",0
"2007","S01001876","Pre 1991",0
"2008","S01001876","Pre 1991",0
"2009","S01001876","Pre 1991",0
"2010","S01001876","Pre 1991",0
"2011","S01001876","Pre 1991",0
"2012","S01001876","Pre 1991",0
"2013","S01001876","Pre 1991",0
"2013","S01001876","All",0
"2009","S01001876","All",0
"2004","S01001876","All",0
"2012","S01001876","All",0
"2005","S01001876","All",0
"2010","S01001876","All",0
"2006","S01001876","All",0
"2014","S01001876","All",0
"2007","S01001876","All",0
"2011","S01001876","All",0
"2008","S01001876","All",0
"2004","S01001877","Pre 1991",0
"2005","S01001877","Pre 1991",0
"2006","S01001877","Pre 1991",0
"2007","S01001877","Pre 1991",0
"2008","S01001877","Pre 1991",0
"2009","S01001877","Pre 1991",0
"2010","S01001877","Pre 1991",0
"2011","S01001877","Pre 1991",0
"2012","S01001877","Pre 1991",0
"2013","S01001877","Pre 1991",0
"2013","S01001877","All",0
"2009","S01001877","All",0
"2004","S01001877","All",0
"2012","S01001877","All",0
"2005","S01001877","All",0
"2010","S01001877","All",0
"2006","S01001877","All",0
"2014","S01001877","All",0
"2007","S01001877","All",0
"2011","S01001877","All",0
"2008","S01001877","All",0
"2004","S01001878","Pre 1991",0
"2005","S01001878","Pre 1991",0
"2006","S01001878","Pre 1991",0
"2007","S01001878","Pre 1991",0
"2008","S01001878","Pre 1991",0
"2009","S01001878","Pre 1991",0
"2010","S01001878","Pre 1991",0
"2011","S01001878","Pre 1991",0
"2012","S01001878","Pre 1991","0.6"
"2013","S01001878","Pre 1991",0
"2013","S01001878","All",0
"2009","S01001878","All",0
"2004","S01001878","All",0
"2012","S01001878","All","0.6"
"2005","S01001878","All",0
"2010","S01001878","All",0
"2006","S01001878","All",0
"2014","S01001878","All",0
"2007","S01001878","All",0
"2011","S01001878","All",0
"2008","S01001878","All",0
"2004","S01001879","Pre 1991",0
"2005","S01001879","Pre 1991",0
"2006","S01001879","Pre 1991",0
"2007","S01001879","Pre 1991",0
"2008","S01001879","Pre 1991",0
"2009","S01001879","Pre 1991",0
"2010","S01001879","Pre 1991",0
"2011","S01001879","Pre 1991",0
"2012","S01001879","Pre 1991",0
"2013","S01001879","Pre 1991",0
"2013","S01001879","All",0
"2009","S01001879","All",0
"2004","S01001879","All",0
"2012","S01001879","All",0
"2005","S01001879","All",0
"2010","S01001879","All",0
"2006","S01001879","All",0
"2014","S01001879","All",0
"2007","S01001879","All",0
"2011","S01001879","All",0
"2008","S01001879","All",0
"2004","S01001880","Pre 1991",0
"2005","S01001880","Pre 1991",0
"2006","S01001880","Pre 1991",0
"2007","S01001880","Pre 1991",0
"2008","S01001880","Pre 1991",0
"2009","S01001880","Pre 1991",0
"2010","S01001880","Pre 1991",0
"2011","S01001880","Pre 1991",0
"2012","S01001880","Pre 1991",0
"2013","S01001880","Pre 1991",0
"2013","S01001880","All",0
"2009","S01001880","All",0
"2004","S01001880","All",0
"2012","S01001880","All",0
"2005","S01001880","All",0
"2010","S01001880","All",0
"2006","S01001880","All",0
"2014","S01001880","All",0
"2007","S01001880","All",0
"2011","S01001880","All",0
"2008","S01001880","All",0
"2004","S01001881","Pre 1991",0
"2005","S01001881","Pre 1991",0
"2006","S01001881","Pre 1991",0
"2007","S01001881","Pre 1991",0
"2008","S01001881","Pre 1991",0
"2009","S01001881","Pre 1991",0
"2010","S01001881","Pre 1991",0
"2011","S01001881","Pre 1991",0
"2012","S01001881","Pre 1991","0.6"
"2013","S01001881","Pre 1991",0
"2013","S01001881","All",0
"2009","S01001881","All",0
"2004","S01001881","All",0
"2012","S01001881","All","9.8"
"2005","S01001881","All",0
"2010","S01001881","All","9.3"
"2006","S01001881","All",0
"2014","S01001881","All",0
"2007","S01001881","All",0
"2011","S01001881","All","9.3"
"2008","S01001881","All",0
"2004","S01001882","Pre 1991",1
"2005","S01001882","Pre 1991",1
"2006","S01001882","Pre 1991",1
"2007","S01001882","Pre 1991","0.9"
"2008","S01001882","Pre 1991","0.8"
"2009","S01001882","Pre 1991","0.8"
"2010","S01001882","Pre 1991","0.8"
"2011","S01001882","Pre 1991","0.8"
"2012","S01001882","Pre 1991","0.8"
"2013","S01001882","Pre 1991",0
"2013","S01001882","All",0
"2009","S01001882","All","0.8"
"2004","S01001882","All",1
"2012","S01001882","All","0.8"
"2005","S01001882","All",1
"2010","S01001882","All","0.8"
"2006","S01001882","All",1
"2014","S01001882","All",0
"2007","S01001882","All","0.9"
"2011","S01001882","All","0.8"
"2008","S01001882","All","0.8"
"2004","S01001883","Pre 1991",0
"2005","S01001883","Pre 1991",0
"2006","S01001883","Pre 1991",0
"2007","S01001883","Pre 1991",0
"2008","S01001883","Pre 1991",0
"2009","S01001883","Pre 1991",0
"2010","S01001883","Pre 1991",0
"2011","S01001883","Pre 1991",0
"2012","S01001883","Pre 1991","1.3"
"2013","S01001883","Pre 1991",0
"2013","S01001883","All",0
"2009","S01001883","All",0
"2004","S01001883","All",0
"2012","S01001883","All","1.3"
"2005","S01001883","All",0
"2010","S01001883","All",0
"2006","S01001883","All",0
"2014","S01001883","All",0
"2007","S01001883","All",0
"2011","S01001883","All",0
"2008","S01001883","All",0
"2004","S01001884","Pre 1991",0
"2005","S01001884","Pre 1991",0
"2006","S01001884","Pre 1991",0
"2007","S01001884","Pre 1991",0
"2008","S01001884","Pre 1991",0
"2009","S01001884","Pre 1991",0
"2010","S01001884","Pre 1991",0
"2011","S01001884","Pre 1991",0
"2012","S01001884","Pre 1991",0
"2013","S01001884","Pre 1991",0
"2013","S01001884","All",0
"2009","S01001884","All",0
"2004","S01001884","All",0
"2012","S01001884","All",0
"2005","S01001884","All",0
"2010","S01001884","All",0
"2006","S01001884","All",0
"2014","S01001884","All",0
"2007","S01001884","All",0
"2011","S01001884","All",0
"2008","S01001884","All",0
"2004","S01001885","Pre 1991",0
"2005","S01001885","Pre 1991",0
"2006","S01001885","Pre 1991",0
"2007","S01001885","Pre 1991",0
"2008","S01001885","Pre 1991",0
"2009","S01001885","Pre 1991",0
"2010","S01001885","Pre 1991",0
"2011","S01001885","Pre 1991",0
"2012","S01001885","Pre 1991","4.3"
"2013","S01001885","Pre 1991",0
"2013","S01001885","All",0
"2009","S01001885","All",0
"2004","S01001885","All",0
"2012","S01001885","All","14.9"
"2005","S01001885","All","35.2"
"2010","S01001885","All","11.1"
"2006","S01001885","All","33.7"
"2014","S01001885","All",0
"2007","S01001885","All","33.8"
"2011","S01001885","All","11.1"
"2008","S01001885","All","33.4"
"2004","S01001886","Pre 1991",0
"2005","S01001886","Pre 1991",0
"2006","S01001886","Pre 1991",0
"2007","S01001886","Pre 1991",0
"2008","S01001886","Pre 1991",0
"2009","S01001886","Pre 1991",0
"2010","S01001886","Pre 1991",0
"2011","S01001886","Pre 1991",0
"2012","S01001886","Pre 1991",0
"2013","S01001886","Pre 1991",0
"2013","S01001886","All",0
"2009","S01001886","All",0
"2004","S01001886","All",0
"2012","S01001886","All",0
"2005","S01001886","All",0
"2010","S01001886","All",0
"2006","S01001886","All",0
"2014","S01001886","All",0
"2007","S01001886","All",0
"2011","S01001886","All",0
"2008","S01001886","All",0
"2004","S01001887","Pre 1991",0
"2005","S01001887","Pre 1991",0
"2006","S01001887","Pre 1991",0
"2007","S01001887","Pre 1991",0
"2008","S01001887","Pre 1991",0
"2009","S01001887","Pre 1991",0
"2010","S01001887","Pre 1991",0
"2011","S01001887","Pre 1991",0
"2012","S01001887","Pre 1991","0.3"
"2013","S01001887","Pre 1991",0
"2013","S01001887","All","98.8"
"2009","S01001887","All","94.3"
"2004","S01001887","All","93.6"
"2012","S01001887","All","94.3"
"2005","S01001887","All","93.6"
"2010","S01001887","All","94.3"
"2006","S01001887","All","93.1"
"2014","S01001887","All","98.8"
"2007","S01001887","All","91.1"
"2011","S01001887","All","94.3"
"2008","S01001887","All","94.3"
"2004","S01001888","Pre 1991",0
"2005","S01001888","Pre 1991",0
"2006","S01001888","Pre 1991",0
"2007","S01001888","Pre 1991",0
"2008","S01001888","Pre 1991",0
"2009","S01001888","Pre 1991",0
"2010","S01001888","Pre 1991",0
"2011","S01001888","Pre 1991",0
"2012","S01001888","Pre 1991","0.5"
"2013","S01001888","Pre 1991",0
"2013","S01001888","All",0
"2009","S01001888","All",0
"2004","S01001888","All",0
"2012","S01001888","All","16.9"
"2005","S01001888","All","25.3"
"2010","S01001888","All","16.5"
"2006","S01001888","All","26.5"
"2014","S01001888","All",0
"2007","S01001888","All",26
"2011","S01001888","All","16.5"
"2008","S01001888","All","25.1"
"2004","S01001889","Pre 1991",0
"2005","S01001889","Pre 1991",0
"2006","S01001889","Pre 1991",0
"2007","S01001889","Pre 1991",0
"2008","S01001889","Pre 1991",0
"2009","S01001889","Pre 1991",0
"2010","S01001889","Pre 1991",0
"2011","S01001889","Pre 1991",0
"2012","S01001889","Pre 1991",0
"2013","S01001889","Pre 1991",0
"2013","S01001889","All","44.1"
"2009","S01001889","All","39.3"
"2004","S01001889","All",0
"2012","S01001889","All","39.3"
"2005","S01001889","All",0
"2010","S01001889","All","39.3"
"2006","S01001889","All",0
"2014","S01001889","All",44
"2007","S01001889","All",0
"2011","S01001889","All","39.3"
"2008","S01001889","All","39.3"
"2004","S01001890","Pre 1991",0
"2005","S01001890","Pre 1991",0
"2006","S01001890","Pre 1991",0
"2007","S01001890","Pre 1991",0
"2008","S01001890","Pre 1991",0
"2009","S01001890","Pre 1991",0
"2010","S01001890","Pre 1991",0
"2011","S01001890","Pre 1991",0
"2012","S01001890","Pre 1991",0
"2013","S01001890","Pre 1991",0
"2013","S01001890","All",0
"2009","S01001890","All",0
"2004","S01001890","All",0
"2012","S01001890","All",0
"2005","S01001890","All",0
"2010","S01001890","All",0
"2006","S01001890","All",0
"2014","S01001890","All",0
"2007","S01001890","All",0
"2011","S01001890","All",0
"2008","S01001890","All",0
"2004","S01001891","Pre 1991",0
"2005","S01001891","Pre 1991",0
"2006","S01001891","Pre 1991",0
"2007","S01001891","Pre 1991",0
"2008","S01001891","Pre 1991",0
"2009","S01001891","Pre 1991",0
"2010","S01001891","Pre 1991",0
"2011","S01001891","Pre 1991",0
"2012","S01001891","Pre 1991",0
"2013","S01001891","Pre 1991",0
"2013","S01001891","All","5.1"
"2009","S01001891","All","5.7"
"2004","S01001891","All",0
"2012","S01001891","All","5.7"
"2005","S01001891","All",0
"2010","S01001891","All","5.7"
"2006","S01001891","All",0
"2014","S01001891","All","5.1"
"2007","S01001891","All",0
"2011","S01001891","All","5.7"
"2008","S01001891","All","5.7"
"2004","S01001892","Pre 1991",0
"2005","S01001892","Pre 1991",0
"2006","S01001892","Pre 1991",0
"2007","S01001892","Pre 1991",0
"2008","S01001892","Pre 1991",0
"2009","S01001892","Pre 1991",0
"2010","S01001892","Pre 1991",0
"2011","S01001892","Pre 1991",0
"2012","S01001892","Pre 1991",0
"2013","S01001892","Pre 1991",0
"2013","S01001892","All",0
"2009","S01001892","All",0
"2004","S01001892","All",0
"2012","S01001892","All",0
"2005","S01001892","All",0
"2010","S01001892","All",0
"2006","S01001892","All",0
"2014","S01001892","All",0
"2007","S01001892","All",0
"2011","S01001892","All",0
"2008","S01001892","All",0
"2004","S01001893","Pre 1991",0
"2005","S01001893","Pre 1991",0
"2006","S01001893","Pre 1991",0
"2007","S01001893","Pre 1991",0
"2008","S01001893","Pre 1991",0
"2009","S01001893","Pre 1991",0
"2010","S01001893","Pre 1991",0
"2011","S01001893","Pre 1991",0
"2012","S01001893","Pre 1991",0
"2013","S01001893","Pre 1991",0
"2013","S01001893","All",0
"2009","S01001893","All",0
"2004","S01001893","All",0
"2012","S01001893","All",0
"2005","S01001893","All",0
"2010","S01001893","All",0
"2006","S01001893","All",0
"2014","S01001893","All",0
"2007","S01001893","All",0
"2011","S01001893","All",0
"2008","S01001893","All",0
"2004","S01001894","Pre 1991",0
"2005","S01001894","Pre 1991",0
"2006","S01001894","Pre 1991",0
"2007","S01001894","Pre 1991",0
"2008","S01001894","Pre 1991",0
"2009","S01001894","Pre 1991",0
"2010","S01001894","Pre 1991",0
"2011","S01001894","Pre 1991",0
"2012","S01001894","Pre 1991",0
"2013","S01001894","Pre 1991",0
"2013","S01001894","All",0
"2009","S01001894","All",0
"2004","S01001894","All",0
"2012","S01001894","All",0
"2005","S01001894","All",0
"2010","S01001894","All",0
"2006","S01001894","All",0
"2014","S01001894","All",0
"2007","S01001894","All",0
"2011","S01001894","All",0
"2008","S01001894","All",0
"2004","S01001895","Pre 1991",0
"2005","S01001895","Pre 1991",0
"2006","S01001895","Pre 1991",0
"2007","S01001895","Pre 1991",0
"2008","S01001895","Pre 1991",0
"2009","S01001895","Pre 1991",0
"2010","S01001895","Pre 1991",0
"2011","S01001895","Pre 1991",0
"2012","S01001895","Pre 1991",0
"2013","S01001895","Pre 1991",0
"2013","S01001895","All",0
"2009","S01001895","All",0
"2004","S01001895","All",0
"2012","S01001895","All",0
"2005","S01001895","All",0
"2010","S01001895","All",0
"2006","S01001895","All",0
"2014","S01001895","All",0
"2007","S01001895","All",0
"2011","S01001895","All",0
"2008","S01001895","All",0
"2004","S01001896","Pre 1991",0
"2005","S01001896","Pre 1991",0
"2006","S01001896","Pre 1991",0
"2007","S01001896","Pre 1991",0
"2008","S01001896","Pre 1991",0
"2009","S01001896","Pre 1991",0
"2010","S01001896","Pre 1991",0
"2011","S01001896","Pre 1991",0
"2012","S01001896","Pre 1991",0
"2013","S01001896","Pre 1991",0
"2013","S01001896","All",0
"2009","S01001896","All",0
"2004","S01001896","All",0
"2012","S01001896","All",0
"2005","S01001896","All",0
"2010","S01001896","All",0
"2006","S01001896","All",0
"2014","S01001896","All",0
"2007","S01001896","All",0
"2011","S01001896","All",0
"2008","S01001896","All",0
"2004","S01001897","Pre 1991",0
"2005","S01001897","Pre 1991",0
"2006","S01001897","Pre 1991",0
"2007","S01001897","Pre 1991",0
"2008","S01001897","Pre 1991",0
"2009","S01001897","Pre 1991",0
"2010","S01001897","Pre 1991",0
"2011","S01001897","Pre 1991",0
"2012","S01001897","Pre 1991",0
"2013","S01001897","Pre 1991",0
"2013","S01001897","All",0
"2009","S01001897","All",0
"2004","S01001897","All",0
"2012","S01001897","All",0
"2005","S01001897","All",0
"2010","S01001897","All",0
"2006","S01001897","All",0
"2014","S01001897","All",0
"2007","S01001897","All",0
"2011","S01001897","All",0
"2008","S01001897","All",0
"2004","S01001898","Pre 1991",0
"2005","S01001898","Pre 1991",0
"2006","S01001898","Pre 1991",0
"2007","S01001898","Pre 1991",0
"2008","S01001898","Pre 1991",0
"2009","S01001898","Pre 1991",0
"2010","S01001898","Pre 1991",0
"2011","S01001898","Pre 1991",0
"2012","S01001898","Pre 1991",0
"2013","S01001898","Pre 1991",0
"2013","S01001898","All",0
"2009","S01001898","All",0
"2004","S01001898","All",0
"2012","S01001898","All",0
"2005","S01001898","All",0
"2010","S01001898","All",0
"2006","S01001898","All",0
"2014","S01001898","All",0
"2007","S01001898","All",0
"2011","S01001898","All",0
"2008","S01001898","All",0
"2004","S01001899","Pre 1991",0
"2005","S01001899","Pre 1991",0
"2006","S01001899","Pre 1991",0
"2007","S01001899","Pre 1991",0
"2008","S01001899","Pre 1991",0
"2009","S01001899","Pre 1991",0
"2010","S01001899","Pre 1991",0
"2011","S01001899","Pre 1991",0
"2012","S01001899","Pre 1991",0
"2013","S01001899","Pre 1991",0
"2013","S01001899","All",0
"2009","S01001899","All",0
"2004","S01001899","All",0
"2012","S01001899","All",0
"2005","S01001899","All",0
"2010","S01001899","All",0
"2006","S01001899","All",0
"2014","S01001899","All",0
"2007","S01001899","All",0
"2011","S01001899","All",0
"2008","S01001899","All",0
"2004","S01001900","Pre 1991",0
"2005","S01001900","Pre 1991",0
"2006","S01001900","Pre 1991",0
"2007","S01001900","Pre 1991",0
"2008","S01001900","Pre 1991",0
"2009","S01001900","Pre 1991",0
"2010","S01001900","Pre 1991",0
"2011","S01001900","Pre 1991",0
"2012","S01001900","Pre 1991",0
"2013","S01001900","Pre 1991",0
"2013","S01001900","All",0
"2009","S01001900","All",0
"2004","S01001900","All",0
"2012","S01001900","All","2.6"
"2005","S01001900","All",0
"2010","S01001900","All","2.6"
"2006","S01001900","All",0
"2014","S01001900","All",0
"2007","S01001900","All",0
"2011","S01001900","All","2.6"
"2008","S01001900","All",0
"2004","S01001901","Pre 1991",0
"2005","S01001901","Pre 1991",0
"2006","S01001901","Pre 1991",0
"2007","S01001901","Pre 1991",0
"2008","S01001901","Pre 1991",0
"2009","S01001901","Pre 1991",0
"2010","S01001901","Pre 1991",0
"2011","S01001901","Pre 1991",0
"2012","S01001901","Pre 1991","7.6"
"2013","S01001901","Pre 1991",0
"2013","S01001901","All",0
"2009","S01001901","All",0
"2004","S01001901","All",0
"2012","S01001901","All","7.6"
"2005","S01001901","All",0
"2010","S01001901","All",0
"2006","S01001901","All",0
"2014","S01001901","All",0
"2007","S01001901","All",0
"2011","S01001901","All",0
"2008","S01001901","All",0
"2004","S01001902","Pre 1991",0
"2005","S01001902","Pre 1991",0
"2006","S01001902","Pre 1991",0
"2007","S01001902","Pre 1991",0
"2008","S01001902","Pre 1991",0
"2009","S01001902","Pre 1991",0
"2010","S01001902","Pre 1991",0
"2011","S01001902","Pre 1991",0
"2012","S01001902","Pre 1991",0
"2013","S01001902","Pre 1991",0
"2013","S01001902","All",0
"2009","S01001902","All",0
"2004","S01001902","All",0
"2012","S01001902","All",0
"2005","S01001902","All",0
"2010","S01001902","All",0
"2006","S01001902","All",0
"2014","S01001902","All",0
"2007","S01001902","All",0
"2011","S01001902","All",0
"2008","S01001902","All",0
"2004","S01001903","Pre 1991",0
"2005","S01001903","Pre 1991",0
"2006","S01001903","Pre 1991",0
"2007","S01001903","Pre 1991",0
"2008","S01001903","Pre 1991",0
"2009","S01001903","Pre 1991",0
"2010","S01001903","Pre 1991",0
"2011","S01001903","Pre 1991",0
"2012","S01001903","Pre 1991",0
"2013","S01001903","Pre 1991",0
"2013","S01001903","All",0
"2009","S01001903","All",0
"2004","S01001903","All",0
"2012","S01001903","All",0
"2005","S01001903","All",0
"2010","S01001903","All",0
"2006","S01001903","All",0
"2014","S01001903","All",0
"2007","S01001903","All",0
"2011","S01001903","All",0
"2008","S01001903","All",0
"2004","S01001904","Pre 1991",0
"2005","S01001904","Pre 1991",0
"2006","S01001904","Pre 1991",0
"2007","S01001904","Pre 1991",0
"2008","S01001904","Pre 1991",0
"2009","S01001904","Pre 1991",0
"2010","S01001904","Pre 1991",0
"2011","S01001904","Pre 1991",0
"2012","S01001904","Pre 1991",0
"2013","S01001904","Pre 1991",0
"2013","S01001904","All",0
"2009","S01001904","All",0
"2004","S01001904","All",0
"2012","S01001904","All",0
"2005","S01001904","All",0
"2010","S01001904","All",0
"2006","S01001904","All",0
"2014","S01001904","All",0
"2007","S01001904","All",0
"2011","S01001904","All",0
"2008","S01001904","All",0
"2004","S01001905","Pre 1991",0
"2005","S01001905","Pre 1991",0
"2006","S01001905","Pre 1991",0
"2007","S01001905","Pre 1991",0
"2008","S01001905","Pre 1991",0
"2009","S01001905","Pre 1991",0
"2010","S01001905","Pre 1991",0
"2011","S01001905","Pre 1991",0
"2012","S01001905","Pre 1991",0
"2013","S01001905","Pre 1991",0
"2013","S01001905","All",0
"2009","S01001905","All",0
"2004","S01001905","All",0
"2012","S01001905","All",0
"2005","S01001905","All",0
"2010","S01001905","All",0
"2006","S01001905","All",0
"2014","S01001905","All",0
"2007","S01001905","All",0
"2011","S01001905","All",0
"2008","S01001905","All",0
"2004","S01001906","Pre 1991","2.4"
"2005","S01001906","Pre 1991","2.4"
"2006","S01001906","Pre 1991","2.4"
"2007","S01001906","Pre 1991","2.3"
"2008","S01001906","Pre 1991","1.8"
"2009","S01001906","Pre 1991","1.8"
"2010","S01001906","Pre 1991","1.9"
"2011","S01001906","Pre 1991","1.9"
"2012","S01001906","Pre 1991","2.6"
"2013","S01001906","Pre 1991","0.6"
"2013","S01001906","All","0.6"
"2009","S01001906","All","1.8"
"2004","S01001906","All","2.4"
"2012","S01001906","All","2.6"
"2005","S01001906","All","2.4"
"2010","S01001906","All","1.9"
"2006","S01001906","All","2.4"
"2014","S01001906","All","0.6"
"2007","S01001906","All","2.3"
"2011","S01001906","All","1.9"
"2008","S01001906","All","1.8"
"2004","S01001907","Pre 1991",0
"2005","S01001907","Pre 1991",0
"2006","S01001907","Pre 1991",0
"2007","S01001907","Pre 1991",0
"2008","S01001907","Pre 1991",0
"2009","S01001907","Pre 1991",0
"2010","S01001907","Pre 1991",0
"2011","S01001907","Pre 1991",0
"2012","S01001907","Pre 1991",0
"2013","S01001907","Pre 1991",0
"2013","S01001907","All","12.5"
"2009","S01001907","All","14.3"
"2004","S01001907","All",0
"2012","S01001907","All","14.3"
"2005","S01001907","All",0
"2010","S01001907","All","14.3"
"2006","S01001907","All",0
"2014","S01001907","All","12.4"
"2007","S01001907","All",0
"2011","S01001907","All","14.3"
"2008","S01001907","All","14.3"
"2004","S01001908","Pre 1991",0
"2005","S01001908","Pre 1991",0
"2006","S01001908","Pre 1991",0
"2007","S01001908","Pre 1991",0
"2008","S01001908","Pre 1991",0
"2009","S01001908","Pre 1991",0
"2010","S01001908","Pre 1991",0
"2011","S01001908","Pre 1991",0
"2012","S01001908","Pre 1991","15.1"
"2013","S01001908","Pre 1991",0
"2013","S01001908","All","78.3"
"2009","S01001908","All","85.1"
"2004","S01001908","All",0
"2012","S01001908","All","87.3"
"2005","S01001908","All",0
"2010","S01001908","All","85.1"
"2006","S01001908","All",0
"2014","S01001908","All","78.5"
"2007","S01001908","All",0
"2011","S01001908","All","85.1"
"2008","S01001908","All","85.1"
"2004","S01001909","Pre 1991",0
"2005","S01001909","Pre 1991",0
"2006","S01001909","Pre 1991",0
"2007","S01001909","Pre 1991",0
"2008","S01001909","Pre 1991",0
"2009","S01001909","Pre 1991",0
"2010","S01001909","Pre 1991",0
"2011","S01001909","Pre 1991",0
"2012","S01001909","Pre 1991",0
"2013","S01001909","Pre 1991",0
"2013","S01001909","All",0
"2009","S01001909","All",0
"2004","S01001909","All",0
"2012","S01001909","All",0
"2005","S01001909","All",0
"2010","S01001909","All",0
"2006","S01001909","All",0
"2014","S01001909","All",0
"2007","S01001909","All",0
"2011","S01001909","All",0
"2008","S01001909","All",0
"2004","S01001910","Pre 1991",0
"2005","S01001910","Pre 1991",0
"2006","S01001910","Pre 1991",0
"2007","S01001910","Pre 1991",0
"2008","S01001910","Pre 1991",0
"2009","S01001910","Pre 1991",0
"2010","S01001910","Pre 1991",0
"2011","S01001910","Pre 1991",0
"2012","S01001910","Pre 1991",0
"2013","S01001910","Pre 1991",0
"2013","S01001910","All",0
"2009","S01001910","All",0
"2004","S01001910","All",0
"2012","S01001910","All",0
"2005","S01001910","All",0
"2010","S01001910","All",0
"2006","S01001910","All",0
"2014","S01001910","All",0
"2007","S01001910","All",0
"2011","S01001910","All",0
"2008","S01001910","All",0
"2004","S01001911","Pre 1991",0
"2005","S01001911","Pre 1991",0
"2006","S01001911","Pre 1991",0
"2007","S01001911","Pre 1991",0
"2008","S01001911","Pre 1991",0
"2009","S01001911","Pre 1991",0
"2010","S01001911","Pre 1991",0
"2011","S01001911","Pre 1991",0
"2012","S01001911","Pre 1991",0
"2013","S01001911","Pre 1991",0
"2013","S01001911","All",0
"2009","S01001911","All",0
"2004","S01001911","All",0
"2012","S01001911","All",0
"2005","S01001911","All",0
"2010","S01001911","All",0
"2006","S01001911","All",0
"2014","S01001911","All",0
"2007","S01001911","All",0
"2011","S01001911","All",0
"2008","S01001911","All",0
"2004","S01001912","Pre 1991",0
"2005","S01001912","Pre 1991",0
"2006","S01001912","Pre 1991",0
"2007","S01001912","Pre 1991",0
"2008","S01001912","Pre 1991",0
"2009","S01001912","Pre 1991",0
"2010","S01001912","Pre 1991",0
"2011","S01001912","Pre 1991",0
"2012","S01001912","Pre 1991",0
"2013","S01001912","Pre 1991",0
"2013","S01001912","All",0
"2009","S01001912","All",0
"2004","S01001912","All",0
"2012","S01001912","All",0
"2005","S01001912","All",0
"2010","S01001912","All",0
"2006","S01001912","All",0
"2014","S01001912","All",0
"2007","S01001912","All",0
"2011","S01001912","All",0
"2008","S01001912","All",0
"2004","S01001913","Pre 1991",0
"2005","S01001913","Pre 1991",0
"2006","S01001913","Pre 1991",0
"2007","S01001913","Pre 1991",0
"2008","S01001913","Pre 1991",0
"2009","S01001913","Pre 1991",0
"2010","S01001913","Pre 1991",0
"2011","S01001913","Pre 1991",0
"2012","S01001913","Pre 1991",0
"2013","S01001913","Pre 1991",0
"2013","S01001913","All",0
"2009","S01001913","All",0
"2004","S01001913","All",0
"2012","S01001913","All","97.5"
"2005","S01001913","All",0
"2010","S01001913","All","97.5"
"2006","S01001913","All",0
"2014","S01001913","All",0
"2007","S01001913","All",0
"2011","S01001913","All","97.5"
"2008","S01001913","All",0
"2004","S01001914","Pre 1991",0
"2005","S01001914","Pre 1991",0
"2006","S01001914","Pre 1991",0
"2007","S01001914","Pre 1991",0
"2008","S01001914","Pre 1991",0
"2009","S01001914","Pre 1991",0
"2010","S01001914","Pre 1991",0
"2011","S01001914","Pre 1991",0
"2012","S01001914","Pre 1991","3.8"
"2013","S01001914","Pre 1991",0
"2013","S01001914","All",3
"2009","S01001914","All",0
"2004","S01001914","All",0
"2012","S01001914","All","3.8"
"2005","S01001914","All",0
"2010","S01001914","All",0
"2006","S01001914","All",0
"2014","S01001914","All",3
"2007","S01001914","All",0
"2011","S01001914","All",0
"2008","S01001914","All",0
"2004","S01001915","Pre 1991",0
"2005","S01001915","Pre 1991",0
"2006","S01001915","Pre 1991",0
"2007","S01001915","Pre 1991",0
"2008","S01001915","Pre 1991",0
"2009","S01001915","Pre 1991",0
"2010","S01001915","Pre 1991",0
"2011","S01001915","Pre 1991",0
"2012","S01001915","Pre 1991",0
"2013","S01001915","Pre 1991",0
"2013","S01001915","All",0
"2009","S01001915","All",0
"2004","S01001915","All",0
"2012","S01001915","All","66.6"
"2005","S01001915","All",0
"2010","S01001915","All","66.6"
"2006","S01001915","All",0
"2014","S01001915","All",0
"2007","S01001915","All","36.2"
"2011","S01001915","All","66.6"
"2008","S01001915","All",0
"2004","S01001916","Pre 1991",0
"2005","S01001916","Pre 1991",0
"2006","S01001916","Pre 1991",0
"2007","S01001916","Pre 1991",0
"2008","S01001916","Pre 1991",0
"2009","S01001916","Pre 1991",0
"2010","S01001916","Pre 1991",0
"2011","S01001916","Pre 1991",0
"2012","S01001916","Pre 1991",0
